NAME,COLOR,FEATURE,INCIDENCE_ANGLE,UNITS,L6,L0B,R0B,L5,L0G,R0G,L4,L0R,R0R,L3,L2,L1,R1,R2,R3,R4,R5,R6,L6_ERR,L0B_ERR,R0B_ERR,L5_ERR,L0G_ERR,R0G_ERR,L4_ERR,L0R_ERR,R0R_ERR,L3_ERR,L2_ERR,L1_ERR,R1_ERR,R2_ERR,R3_ERR,R4_ERR,R5_ERR,R6_ERR,LAB_SPECTRUM_TYPE
Saponite,black,lab spectrum,0,IOF,0.557812507,0.640282724,0.640282724,0.755891276,0.752217939,0.752217939,0.796548747,0.80019009,0.80019009,0.825360823,0.849253367,0.852856999,0.852856999,0.837575466,0.820192477,0.792652784,0.789189395,0.794136613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phyllosilicate
Epsomite,black,lab spectrum,0,IOF,0.888149489,0.883604224,0.883604224,0.885992536,0.882848927,0.882848927,0.876855384,0.875582323,0.875582323,0.877228562,0.869696953,0.87466894,0.87466894,0.862602089,0.834189751,0.802270677,0.729383645,0.74091338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Hexahydrite,black,lab spectrum,0,IOF,0.758137678,0.786918695,0.786918695,0.819720184,0.825100116,0.825100116,0.855544811,0.859541708,0.859541708,0.871637773,0.883171016,0.889659023,0.889659023,0.895810181,0.898695145,0.89986773,0.899583358,0.906838513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Starkeyite,black,lab spectrum,0,IOF,0.910790171,0.908940584,0.908940584,0.907873414,0.906564136,0.906564136,0.903566342,0.904347167,0.904347167,0.904135855,0.89761715,0.899147946,0.899147946,0.903746485,0.888407269,0.875053526,0.836271617,0.854782816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Anhydrite,black,lab spectrum,0,IOF,0.836233605,0.83838352,0.83838352,0.846921608,0.845356821,0.845356821,0.844618781,0.847406572,0.847406572,0.859392835,0.892975852,0.910196968,0.910196968,0.916649524,0.91184834,0.904935635,0.907913703,0.902020934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Analcime,black,lab spectrum,0,IOF,0.828801837,0.836283953,0.836283953,0.853885885,0.857579319,0.857579319,0.875352735,0.877693575,0.877693575,0.885401419,0.895412713,0.911205326,0.911205326,0.918755373,0.909495873,0.889241644,0.854685923,0.889317343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hydrated Silicate
Bassanite,black,lab spectrum,0,IOF,0.771489348,0.803232199,0.803232199,0.850017199,0.854363298,0.854363298,0.89081941,0.894428104,0.894428104,0.910141654,0.920418021,0.932508649,0.932508649,0.933219155,0.924565107,0.913961319,0.907568216,0.913519272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Gypsum,black,lab spectrum,0,IOF,0.908532557,0.907236935,0.907236935,0.915674868,0.916168541,0.916168541,0.923996884,0.923196847,0.923196847,0.926295086,0.928964368,0.938350375,0.938350375,0.93504629,0.92010765,0.907211565,0.873181129,0.875484788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
MgPerchlorate,black,lab spectrum,0,IOF,0.931164223,0.938462894,0.938462894,0.946130384,0.94660496,0.94660496,0.951544993,0.951404455,0.951404455,0.951622999,0.947495853,0.950095284,0.950095284,0.94802038,0.944483983,0.931450889,0.898227488,0.932033267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perchlorate
Sinjarite,black,lab spectrum,0,IOF,0.952152265,0.952866343,0.952866343,0.956507787,0.954258326,0.954258326,0.953855315,0.95638994,0.95638994,0.959504409,0.955863222,0.953379278,0.953379278,0.961139446,0.952809897,0.945275655,0.917297225,0.931333697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chloride
